time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2020-02-10 11:16:19.092 UTC, ,125,3161029,1080,15040,136, ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,34068959232,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1581333379011, , , , ,3145728,1332, , , ,15,5,55,4,5,5, , ,3,5, , , , , , , ,38,1, , ,16384,5,1321,5, , , , , , ,113,945,148320768,2, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-10 11:16:38.715 UTC, ,589,3277861,3752,131544, , ,9, ,1477, , , , , , , , , ,9,9, , , , ,1,11, ,1125, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1359,34068951040,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1359, ,1581333379011, , , , ,3145728,106176, , , ,37,98,1246,99, ,98, , ,3,100, , , , , , , , , , , , , ,105008,99, , , , , , ,8,78,200592896,2, , , , , , ,1474, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,29, ,183, , ,1008,254,1, , , , , , 
2020-02-10 11:25:59.955 UTC, ,125,3167629,2344,21696,80, ,3, ,64,3,0.05, , , , , , , ,3,3, ,2, ,2,1,4, ,55,15, , , , , , , , , , , , , ,128169,2, ,106506, , , , , , ,-1,-1, , , , , ,16,314, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1581333959903, , , , ,3145728,128169, , ,23,0, , , ,3, , , ,3, , , , ,23,1,2048,1, , , , ,530114,83, , , , , , , , ,26,165,130350696,1, , , , , , ,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-10 11:26:59.957 UTC, ,125,3187389,2472,41200,336, ,5, ,82,2,0.02, , , , , , , ,5,5, , , ,2,1,5, ,81,30, , , , , , , , , , , , , ,128169,2, ,106506, , , , ,128218,34061832192,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,128218, ,1581333959903, , , , ,3145728,128169, , ,34,0, , , , , , , ,3, , , , ,34,1, , , , , , ,18503,34, , , , , , , , ,4,54,116615184,3, , , , , , ,86, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,75,2, , , , , , , 
2020-02-10 11:27:59.961 UTC, ,125,3187389,2472,41200,336, ,5, , , , , , , , , , , ,5,5, , , ,2,1,5, , , , , , , , , , , , , , , , ,128169,2, ,106506, , , , ,128218,34061365248,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,128218, ,1581333959903, , , , ,3145728,128169, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,129198096,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-10 11:28:59.966 UTC, ,125,3187389,2472,41200,336, ,5, , , , , , , , , , , ,5,5, , , ,2,1,5, , , , , , , , , , , , , , , , ,128169,2, ,106506, , , , ,128218,34060234752,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,128218, ,1581333959903, , , , ,3145728,128169, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,142829584,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-10 11:29:59.970 UTC, ,125,3187389,2472,41200,336, ,5, , , , , , , , , , , ,5,5, , , ,2,1,5, , , , , , , , , , , , , , , , ,128169,2, ,106506, , , , ,128218,34059657216,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,128218, ,1581333959903, , , , ,3145728,128169, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,158558224,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-10 11:30:59.974 UTC, ,125,3187389,2472,41200,336, ,5, , , , , , , , , , , ,5,5, , , ,2,1,5, , , , , , , , , , , , , , , , ,128169,2, ,106506, , , , ,128218,34059268096,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,128218, ,1581333959903, , , , ,3145728,128169, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,7,68367040,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-10 11:31:59.973 UTC, ,589,3360717,4192,212640,1760, ,11, ,5558,1,0.00, , , , , , , ,11,9, , , ,2,1,9, ,5217,7, , , , , , , , , , , , , ,128169,2, ,106506, , , , ,128218,34058792960,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,128218, ,1581333959903, , , , ,3145728,286375, , ,9,19,312,3838,311,2,312, , ,3,321, , , ,9,1, , , , , , ,9505,11,158187,322, , , , , , ,5,49,155485184,2, , , , , , ,5394, , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,342, ,90,1024,4015,10, , , , , , 
2020-02-10 11:32:59.975 UTC, ,589,4704981,5024,1556984,1680, ,52, ,16874, , , , , , , , , ,52,17, , , ,2,1,14, ,10113, , , , , , , , , , , , , , ,128169,2, ,106506, , , , ,128218,34058792960,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,128218, ,1581333959903, , , , ,3145728,2076057, ,1020, ,24,3371,38424,3372, ,3371, , ,3,3375, , , , ,1, , , , , , , , ,1789682,3371, , , ,3, , ,12,124,139963776,2, , , , , , ,13484, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3371, , ,10113,3371, , , , , , , 
