time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2020-02-09 17:27:05.228 UTC, ,125,3163653,1496,17688,112, ,4, ,31,3,0.10, , , , , , , ,4,4, ,2, ,2,1,7, ,24,9, , , , , , , , , , , , , ,12868,2, ,10539, , , , ,13216,32678825984,59,59, , , , , ,3,112, , , , , , , , , , , , , , , , , , , , , , , , , ,13216, ,1581269225038, , , , ,3145728,4294967581, , ,17,14,1,26,1,6,1, , ,3,2, , , ,17,1,6326,5,128,2, , ,127304,30,175,1, , , , , , ,101,408,165994704,3, , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-09 17:28:05.229 UTC, ,125,3176125,1600,30160,112, ,5, ,43,1,0.02, , , , , , , ,5,5, , , ,3,1,8, ,23,23, , , , , , , , , , , , , ,12868,2, ,10539, , , , ,14143,32678166528,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14143, ,1581269225038, , , , ,3145728,4294968496, , ,25,19,2,45,2,2,2, , ,3,3, , , ,25,1,2222,2, , , , ,11820,25,927,2, , , , , , ,13,45,90719088,3, , , , , , ,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , ,35,2,2, , , , , , 
2020-02-09 17:30:01.603 UTC, ,250,3169874,1704,23784,112, ,5, ,63,5,0.08, , , , , , , ,5,5, ,10, ,4,2,8, ,46,10, , , , , , , , , , , , , ,4294969949,3,10001299,4294968595,1,2,3,8,15623,32669614080,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,15623, ,1581269401418, , , , ,3145728,4294969949, , ,24,21,1,34,1,6,1, , ,3,2, , , ,24,1,102567,20, , , , ,119051,32,1480,1, , , , , , ,16,67,49248448,2, , , , , , ,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2020-02-09 17:31:01.605 UTC, ,250,3177058,1704,30968,112, ,5, ,30, , , , , , , , , ,5,5, , , ,4,1,8, ,25,25, , , , , , , , , , , , , ,4294969949,3,10001299,4294968595, , , , ,15623,32675753984,55,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15623, ,1581269401418, , , , ,3145728,4294969949, , ,25,0, , , ,1, , , ,3, , , , ,25,2,2222,2, , , , ,6313,24, , , , , , , , ,22,121,95545344,2, , , , , , ,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30, , , , , , , , 
2020-02-09 17:32:01.625 UTC, ,250,3177058,1704,30968,112, ,5, , , , , , , , , , , ,5,5, , , ,4,1,8, , , , , , , , , , , , , , , , ,4294969949,3,10001299,4294968595, , , , ,15623,32684335104,55,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15623, ,1581269401418, , , , ,3145728,4294969949, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,112322560,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-09 17:33:01.627 UTC, ,250,3177058,1704,30968,112, ,5, , , , , , , , , , , ,5,5, , , ,4,1,8, , , , , , , , , , , , , , , , ,4294969949,3,10001299,4294968595, , , , ,15623,32684019712,55,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15623, ,1581269401418, , , , ,3145728,4294969949, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,124905472,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-09 17:34:01.631 UTC, ,250,3177058,1704,30968,112, ,5, , , , , , , , , , , ,5,5, , , ,4,1,8, , , , , , , , , , , , , , , , ,4294969949,3,10001299,4294968595, , , , ,15623,32683126784,55,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15623, ,1581269401418, , , , ,3145728,4294969949, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,138536960,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-09 17:35:01.634 UTC, ,250,3177058,1704,30968,112, ,5, , , , , , , , , , , ,5,5, , , ,4,1,8, , , , , , , , , , , , , , , , ,4294969949,3,10001299,4294968595, , , , ,15623,32671010816,55,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15623, ,1581269401418, , , , ,3145728,4294969949, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,152168448,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-09 17:36:01.634 UTC, ,250,3177058,1704,30968,112, ,5, , , , , , , , , , , ,5,5, , , ,4,1,8, , , , , , , , , , , , , , , , ,4294969949,3,10001299,4294968595, , , , ,15623,32677543936,55,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15623, ,1581269401418, , , , ,3145728,4294969949, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,164751360,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-09 17:37:01.636 UTC, ,250,3177058,1704,30968,112, ,5, , , , , , , , , , , ,5,5, , , ,4,1,8, , , , , , , , , , , , , , , , ,4294969949,3,10001299,4294968595, , , , ,15623,32676904960,55,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15623, ,1581269401418, , , , ,3145728,4294969949, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , ,1,83,86692352,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
