time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2020-02-09 17:27:05.414 UTC, ,125,3190973,5208,44928,192, ,5, ,186,4,0.02, , , , , , , ,5,5, ,2, ,2,1,8, ,162,29, , , , , , , , , , , , , ,2308594,2, ,2049264, , , , ,2308954,32678801408,74,74, , , , , ,272,4290, , , , , , , , , , , , , , , , , , , , , , , , , ,2308954, ,1581269225224, , , , ,3145728,4294967588, , ,39,11,1,22,1,6,1, , ,3,2, , , ,39,1,13981,12,128,2, , ,6973765,783,182,1, , , , , , ,101,408,182771920,3, , , , , , ,161, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , , , , 
2020-02-09 17:28:05.414 UTC, ,125,3204477,5440,58288,336, ,6, ,82,1,0.01, , , , , , , ,6,6, , , ,2,1,7, ,76,23, , , , , , , , , , , , , ,2308594,2, ,2049264, , , , ,2309976,32678174720,74,74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2309976, ,1581269225224, , , , ,3145728,4294968596, , ,25,15,2,36,2,2,2, , ,3,3, , , ,25,1,4719,4, , , , ,11099,23,1022,2, , , , , , ,13,45,90719088,3, , , , , , ,84, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,69,6, , , , , , , 
2020-02-09 17:30:01.671 UTC, ,250,3196554,5416,50384,192, ,5, ,152,5,0.03, , , , , , , ,5,5, ,6, ,3,1,7, ,124,43, , , , , , , , , , , , , ,4294970032,3,10001401,4294968697,1,3,2,7,2311439,32669171712,-1,-1, , , , , ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , ,2311439, ,1581269401511, , , , ,3145728,4294970032, , ,41,12,1,24,1,6,1, , ,3,2, , , ,41,1,156326,24, , , , ,2350067,255,1463,1, , , , , , ,16,67,53442752,2, , , , , , ,131, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, , , , , , , , 
2020-02-09 17:31:01.675 UTC, ,250,3205898,5544,59584,336, ,6, ,47,1,0.02, , , , , , , ,6,6, , , ,3,1,7, ,45,12, , , , , , , , , , , , , ,4294970032,3,10001401,4294968697, , , , ,2311439,32675753984,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2311439, ,1581269401511, , , , ,3145728,4294970032, , ,30,0, , , ,1, , , ,3, , , , ,30,2,4719,4, , , , ,7793,17, , , , , , , , ,22,121,95545344,2, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,37,2, , , , , , , 
2020-02-09 17:32:01.681 UTC, ,250,3205898,5544,59584,336, ,6, , , , , , , , , , , ,6,6, , , ,3,1,7, , , , , , , , , , , , , , , , ,4294970032,3,10001401,4294968697, , , , ,2311439,32684257280,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2311439, ,1581269401511, , , , ,3145728,4294970032, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,112322560,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-09 17:33:01.686 UTC, ,250,3205898,5544,59584,336, ,6, , , , , , , , , , , ,6,6, , , ,3,1,7, , , , , , , , , , , , , , , , ,4294970032,3,10001401,4294968697, , , , ,2311439,32683999232,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2311439, ,1581269401511, , , , ,3145728,4294970032, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,124905472,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-09 17:34:01.689 UTC, ,250,3205898,5544,59584,336, ,6, , , , , , , , , , , ,6,6, , , ,3,1,7, , , , , , , , , , , , , , , , ,4294970032,3,10001401,4294968697, , , , ,2311439,32674222080,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2311439, ,1581269401511, , , , ,3145728,4294970032, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,138536960,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-09 17:35:01.692 UTC, ,250,3205898,5544,59584,336, ,6, , , , , , , , , , , ,6,6, , , ,3,1,7, , , , , , , , , , , , , , , , ,4294970032,3,10001401,4294968697, , , , ,2311439,32671305728,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2311439, ,1581269401511, , , , ,3145728,4294970032, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,152168448,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-09 17:36:01.693 UTC, ,250,3205898,5544,59584,336, ,6, , , , , , , , , , , ,6,6, , , ,3,1,7, , , , , , , , , , , , , , , , ,4294970032,3,10001401,4294968697, , , , ,2311439,32677543936,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2311439, ,1581269401511, , , , ,3145728,4294970032, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,164751360,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-09 17:37:01.694 UTC, ,250,3205898,5544,59584,336, ,6, , , , , , , , , , , ,6,6, , , ,3,1,7, , , , , , , , , , , , , , , , ,4294970032,3,10001401,4294968697, , , , ,2311439,32676904960,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2311439, ,1581269401511, , , , ,3145728,4294970032, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , ,1,83,86692352,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
